Collection,SKU,Image,Barcode ,Products Name (TH),Products name (Eng),ราคาขายแนะนำ,RSP,ราคาทุน,Color ,Size,"Weight (G.)
น้ำหนัก","Width (Cm.)
กว้าง","Lenght (Cm.)
ยาว","height (Cm.)
สูง","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
30-50","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
51-100","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
101",Categories,Sub Category,Description (ภาษาไทย),Description,Ratings,"Shelf Life 
(Year)"
"Tie Dye Patterned 
Couple Pet and Parent 
Thai Ver.",OTS-02-00LI,,8859771509579,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - บุพพการี สีส้ม, L","""Tie-dye-patterned couple
 shirts for Owner"" ""Bupphahgaree"",Orange , Size L",690.00,19.99,310.30,Orange,L,186 g,50,63.5,63,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,"กดซื้อคู่ลดทันที เซ็ทสุดคุ้ม คละสี คละลายได้
ขนาดสินค้าอยู่ในรูป เลื่อนดูได้เลยนะคะ 

📍 ราคาส่ง ราคาพิเศษ ทักแชทมาได้ค่ะ 

เสื้อคู่คน x สัตว์เลี้ยง สไตล์มัดย้อม ทรงโอเวอไซส์ ผ้านิ่ม ใส่สบาย ไม่ร้อน
ยอดสั่งซื้อกว่า 400 ออเดอร์บน FB,IG ไปส่องเพจก่อนได้ค่ะ clawset.bkk 
เซเลป influencers ใส่กันเยอะมาก เสื้อสบาย ใส่ได้จริง ลายสกรีนน่ารักเหมาะกับคนเลี้ยงน้อง 🐶

มีให้เลือก 8 แบบ

- ไอ้ต้าว
- คนมีภาระ
- คนมีภาระสีเรนโบว์
- บุพการี
- เกิดมามีกรรม
- ชีวิตลั่นล้า
- นักอนุรักษ์
- สู้ชีวิต","Unleash your inner artist spirit and elevate your wardrobe with our Vibrant Human Tie-Dye Shirt Collection. Each shirt is a unique masterpiece, meticulously crafted to bring a burst of color and individuality to your everyday style. Available in 9 stunning iterations, there's a perfect design for every mood and occasion.

Key Features:

Handcrafted Excellence: Each shirt is hand-dyed, ensuring no two are exactly alike. Experience the true essence of bespoke fashion.

Premium Quality Fabric: Made from 100% high-quality cotton, these shirts are soft, breathable, and durable, providing all-day comfort.

Vibrant Colors: Our shirts feature a spectrum of rich, eye-catching colors that won't fade, thanks to our superior dyeing process.

Eco-Friendly Dye: We use environmentally friendly, non-toxic dyes to ensure safety and sustainability.

Unisex Fit: Designed to fit all body types, our shirts offer a relaxed, casual fit that flatters everyone.

Versatile Style: Perfect for casual outings, music festivals, beach trips, or simply adding a splash of color to your everyday look.

Easy Care: Machine washable for your convenience. These shirts retain their vibrant hues and softness wash after wash.

Available Sizes: Offered in a range of sizes from XS to XXL to ensure the perfect fit for everyone.

Exclusive Designs: Choose from 8 distinct tie-dye patterns, each named after an inspiring theme:

Bupphahgaree
Kon mee Para (blue)
Cheewit Lanla
Nak Anurak
ITAW
Kon mee Para(Rainbow)
Su Cheewit
Gerd Ma Mee Gum",5,2
,OTS-02-0XLI,,8859771509715,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - บุพพการี สีส้ม, XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Bupphahgaree"",Orange , Size XL",690.00,19.99,310.30,Orange,XL,242 g,61,68.5,68,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-3XLI,,8859771509807,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - บุพพการี สีส้ม, 3XL","""Tie-dye-patterned couple
 shirts for Owner "" ""Bupphahgaree"",Orange , Size 3XL",690.00,19.99,270.00,Orange,3XL,300 g,67,76,75,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-00MC,,8859771509623,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีน้ำเงิน, M","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Blue , Size M",690.00,19.99,310.30,Blue,M,163 g,44,56,55,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-00LC,,8859771509555,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีน้ำเงิน, L","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Blue , Size L",690.00,19.99,290.00,Blue,L,186 g,50,63.5,63,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-0XLC,,8859771509685,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีน้ำเงิน, XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Blue , Size XL",690.00,19.99,270.00,Blue,XL,242 g,61,68.5,68,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-3XLC,,8859771509777,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีน้ำเงิน, 3XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Blue , Size 3XL",690.00,19.99,270.00,Blue,3XL,300 g,67,76,75,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-00ML,,8859771509647,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ชีวิตลั้นลา สีฟ้า, M","""Tie-dye-patterned couple
 shirts for Owner"" ""Chewit Lanla"",lightBlue , Size M",690.00,19.99,310.30,lightBlue,M,163 g,44,56,55,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-00LL,,8859771509586,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ชีวิตลั้นลา สีฟ้า, L","""Tie-dye-patterned couple
 shirts for Owner"" ""Chewit Lanla"",lightBlue , Size L",690.00,19.99,310.30,lightBlue,L,186 g,50,63.5,63,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-0XLL,,8859771509739,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ชีวิตลั้นลา สีฟ้า, XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Chewit Lanla"",lightBlue , Size XL",690.00,19.99,310.30,lightBlue,XL,242 g,61,68.5,68,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
